0;Province;City;Place;Rating;Jumlah Rating;Type;Address;Description;Harga;;;;;;;;;;;;;;
96;Aceh;Kabupaten Aceh Singkil;Pantai Cemara Indah;4.3;9;Alam; 7WCW+8FP, South Gosong Telaga, Singkil Utara, Aceh Singkil Regency, Aceh 24472;Pantai Cemara Indah bisa dijangkau sekitar 5 menit dari jalan utama Singkil-Singkil Utara. Pengunjung dapat menikmati hamparan air laut;;;;;;;;;;;;;;;
97;Aceh;Kabupaten Aceh Singkil;Pulau Rangit-kecil;4.7;33;Alam;Kabupaten Aceh Singkil, Provinsi Aceh;Gradasi warna laut yang indah, karang-karang raksasa yang meriah, dan ribuan ikan berenang laksana menari.;;;;;;;;;;;;;;;
98;Aceh;Kabupaten Aceh Singkil;Ujung Lolok;5.0;1;Alam;;;;;;;;;;;;;;;;;
99;Aceh;Kabupaten Aceh Singkil;Pantai Pulo Sarok;4.1;57;Alam;7R98+FFP, Pulo Sarok, Singkil, Aceh Singkil Regency, Aceh 24472;Pantai ini menjadi salah satu favorit masyarakat Kabupaten ini, banyak fasilitas permainan yang ditawarkan, cocok bersantai bersama keluarga;;;;;;;;;;;;;;;
100;Aceh;Kabupaten Aceh Tamiang;Tourism Kuala Paret;4.3;131;Alam;5R6R+CQF, Kaloy, Tamiang Hulu, Aceh Tamiang Regency, Aceh 24382;Kuala paret is a River bowl flooded water rapids and excellent. One of the charms of this water attractions are to some degree green and clear;;;;;;;;;;;;;;;
101;Aceh;Kabupaten Aceh Tamiang;Gunung Pandan River Tourism Area;4.1;190;Alam;3W6F+H36, Selamat, Tenggulun, Aceh Tamiang Regency, Aceh 24477;Objek wisata Pemandian Gunung Pandan sendiri terletak di Kecamatan Tenggulun, Desa Selamat, Dusun Pandan, Kabupaten Aceh Tamiang, Provinsi Aceh.;;;;;;;;;;;;;;;
102;Aceh;Kabupaten Aceh Tamiang;Istana Kerajaan Karang;4.2;103;Sejarah;73Q2+Q46, Jl. Medan B. Aceh, Tj. Karang, Kec. Karang Baru, Kabupaten Aceh Tamiang, Aceh;Istana ini merupakan suatu tempat yang dibangun untuk tempat tinggal bagi raja Kerajaan Karang yang dimana salah satunya pernah memimpin atau menguasai Aceh;;;;;;;;;;;;;;;
103;Aceh;Kabupaten Aceh Tamiang;Air Terjun Sangkapane;4.4;45;Alam;7Q8V+WGJ, Bengkelang, Bandar Pusaka, Aceh Tamiang Regency, Aceh 24382;Air Terjun Sangka Pane merupakan sebuah air terjun eksotis yang berada dibalik perbukitan;;;;;;;;;;;;;;;
104;Aceh;Kabupaten Aceh Tamiang;Air Terjun Gunung Pandan;5.0;2;Alam;3W3C+RGF, Selamat, Tenggulun, Aceh Tamiang Regency, Aceh;Air Terjun Gunung Pandan adalah pilihan tepat untuk wisatawan berkunjung ke Aceh Tamiang. Pemandian air terjun Gunung Pandan;;;;;;;;;;;;;;;
105;Aceh;Kabupaten Aceh Tamiang;Sungai Tamiang;4.3;3;Alam;Tamiang River is a river in the province of Aceh, northern Sumatra, Indonesia,;ungai Tamiang menjadi urat nadi bagi warga di Kabupaten Aceh Tamiang, Aceh. Sungai ini juga menjadi habitat hidup sejumlah satwa.;;;;;;;;;;;;;;;
106;Aceh;Kabupaten Aceh Tamiang;Bukit Kerang;3.6;13;Alam;Lorong Pintu Air Kampung Mesjid, Sungai Iyu, Kec. Bendahara, Kabupaten Aceh Tamiang, Aceh 24472;Bukit Kerang is an archaeological site of the Mesolithic era found in the Aceh Tamiang Regency, Aceh, Eastern Sumatra, Indonesia. ;;;;;;;;;;;;;;;
107;Aceh;Kabupaten Aceh Tamiang;Pantai Pulau Rukui Alur Nunang;3.0;14;Alam;G538+R43, Alur Nunang, Banda Mulia, Aceh Tamiang Regency, Aceh;;;;;;;;;;;;;;;;
108;Aceh;Kabupaten Aceh Tengah;Pantan Terong;4.5;2965;Alam;Takengon, Ulu Nuih, Bebesen, Ulu Nuih, Kec. Bebesen, Kabupaten Aceh Tengah, Aceh 24475;Hill with a high-altitude observation deck offering views of Banda Aceh city, plus a lake & beaches.;;;;;;;;;;;;;;;
109;Aceh;Kabupaten Aceh Tengah;Bur Telege - Takengon;4.5;1088;Alam;JV63+RRP, Hakim Bale Bujang, Lut Tawar, Central Aceh Regency, Aceh 24519;Dari atas bukit kita bisa melihat pemandangan indah Danau Lut Tawar dan Kota Takengon.;;;;;;;;;;;;;;;
110;Aceh;Kabupaten Aceh Tengah;Pante Menye;4.4;732;Alam;Kala Bintang, Bintang, Central Aceh Regency, Aceh 24582;Pante Menye, salah satu objek wisata yang menawarkan keindahan Danau Lut Tawar. ;;;;;;;;;;;;;;;
111;Aceh;Kabupaten Aceh Tengah;Travel Rafting;4.6;552;Alam;HRW3+468, Lukup Badak Jalan, Atang Jungket, Jl. Atang Jungket, Kayu Kul, Kec. Bies, Kabupaten Aceh Tengah, Aceh 24552;;;;;;;;;;;;;;;;
112;Aceh;Kabupaten Aceh Tengah;Kota Takengon;4.7;218;Alam;Simpang Empat, Ketol, Central Aceh Regency, Aceh 24516;;;;;;;;;;;;;;;;
113;Aceh;Kabupaten Aceh Tengah;Buntul Rintis;4.2;683;Alam;JRV9+QM9, Tensaren, Bebesen, Central Aceh Regency, Aceh 24471; Buntul Rintis pun beragam spot foto instagenic, dengan suguhan landskap pemandangan alam yang sedap dipandang.;;;;;;;;;;;;;;;
114;Aceh;Kabupaten Aceh Tengah;Masjid Agung Ruhama Kota Takengon;4.6;181;Religi;JRCW+9QJ, Asir Asir Asia, Lut Tawar, Central Aceh Regency, Aceh 24519;Lokasinya berada di jalan utama kota Takengon. Melintas dari Banda Aceh menyusuri pesisir pantai barat Aceh berbelok di Bireun;;;;;;;;;;;;;;;
115;Aceh;Kabupaten Aceh Tengah;Burtelege Villa Gayo High Land;4.6;97;Alam;Gayo Hill Highland ( Puncak Burtelege, Hakim Bale Bujang, Kec. Lut Tawar, Kabupaten Aceh Tengah, Aceh 24519;;;;;;;;;;;;;;;;
116;Aceh;Kabupaten Aceh Tengah;Air Terjun Mengaya;4.4;152;Alam;Jl. Takengon - Bintang, Kec. Bintang, Mengaya, Kec. Bintang, Takengon, Aceh 24571;Mengaya adalah salah satu kampung di pinggiran Danau Laut Tawar yang memiliki destinasi wisata air terjun yang sangat eksotis.;;;;;;;;;;;;;;;
117;Aceh;Kabupaten Aceh Tengah;Ujung Nunang;4.3;149;Alam; HWX7+QRH, Gunung Suku, Lut Tawar, Central Aceh Regency, Aceh;UJUNG Nunang merupakan objek wisata yang terletak di Kota Takengon, Aceh Tengah. ;;;;;;;;;;;;;;;
118;Aceh;Kabupaten Aceh Tengah;Lancuk Leweng;4.4;88;Alam;Asir Asir, Lut Tawar, Central Aceh Regency, Aceh 24471;Dimanamakan bur lancuk leweng, karena berada pada puncak gunung dengan ketinggian sekitar 1600 mdpl, dan berada pada kemiringan. ;;;;;;;;;;;;;;;
119;Aceh;Kabupaten Aceh Tengah;Dermaga Takengon;4.1;410;Alam;JVF5+J48, East Takengon, Lut Tawar, Central Aceh Regency, Aceh 24519;;;;;;;;;;;;;;;;
120;Aceh;Kabupaten Aceh Tengah;Putri Pukes Cave;4.1;267;Alam;Jl. Takengon - Blangkejeren I, Mendale, Kec. Kebayakan, Kabupaten Aceh Tengah, Aceh 24519;Gua putri pukes terletak kaki bukit kecamatan kebayakan arah menuju ke kecamatan Nosar Kabupaten Aceh Tengah;;;;;;;;;;;;;;;
121;Aceh;Kabupaten Aceh Tengah;Tambatan Perahu Lot Kala;4.2;133;Alam;Lot Kala, Kebayakan, Central Aceh Regency, Aceh 24519; Wisata ini terletak di kampung Lot Kala, Kecamatan Kebayakan, Kabupaten Aceh Tengah, Provinsi Aceh.;;;;;;;;;;;;;;;
122;Aceh;Kabupaten Aceh Tengah;Umah Pitu Ruang;4.3;38;Pendidikan;JRGX+V3G, Jalan Mess Time Ruang Tengah, Blang Kolak I, Kec. Bebesen, Kabupaten Aceh Tengah, Aceh 24519;Dalam khasanah adat Gayo, Umah Pitu Ruang (rumah tujuh ruang) merupakan suatu bangun rumah adat yang menggambarkan karakteristik masyarakat Gayo.;;;;;;;;;;;;;;;
123;Aceh;Kabupaten Aceh Tengah;Danau Laut Tawar Aceh Tengah;4.6;8;Alam;JW97+82X, Danau, Central Aceh Regency, Aceh;Danau Laut Tawar adalah sebuah danau dan kawasan wisata yang terletak di Dataran Tinggi Gayo, Kabupaten Aceh Tengah, Aceh.;;;;;;;;;;;;;;;
124;Aceh;Kabupaten Aceh Tengah;Loyang Mendale;4.2;38;Alam;JVV9+83P, Mendale, Kebayakan, Central Aceh Regency, Aceh 24519;Loyang Mondale merupakan situs prasejarah masa Mesolitik hingga Neolitik yang berada di Takengon, tepatnya di Kecamatan Kebayakan;;;;;;;;;;;;;;;
125;Aceh;Kabupaten Aceh Tengah;Goa Loyang Koro;4.0;157;Alam;JV4M+7HX, Toweren Uken, Lut Tawar, Central Aceh Regency, Aceh;Loyang Koro = Gua Kerbau adalah gua alam yang pernah dipergunakan untuk membawa kerbau sehingga di beri nama Loyang Koro (dalam bahasa Gayo;;;;;;;;;;;;;;;
126;Aceh;Kabupaten Aceh Tengah;Lake Laut Tawar;4.5;274;Alam;Central Aceh Regency of Aceh Province, Indonesia. ;Lake Laut Tawar is a lake in Central Aceh Regency of Aceh Province, Indonesia;;;;;;;;;;;;;;;
127;Aceh;Kabupaten Aceh Tengah;Museum Gayo;4.0;84;Pendidikan;Mess Time Ruang, Jalan, Blang Kolak I, Bebesen, Central Aceh Regency, Aceh 24519;Museum Gayo merupakan salah satu situs bersejarah Aceh yang diresmikan tanggal 26 September 2005;;;;;;;;;;;;;;;
128;Aceh;Kabupaten Aceh Tengah;Gunung Singgah Mata;4.9;9;Alam;Aceh Tengah dan Nagan Raya;Gunung Singgah Mata masih merupakan bagian dari ekosistem pegunungan Leuser yang dikenal sangat luas.;;;;;;;;;;;;;;;
129;Aceh;Kabupaten Aceh Tengah;Burni Dedamar;4.9;7;Alam;Burni Dedamar, Dedamar, Bintang, Kabupaten Aceh Tengah, Aceh, Indonesia;Burni Dedamar (1 947m/6 388ft a.s.l.) is a mountain in Indonesia.;;;;;;;;;;;;;;;
130;Aceh;Kabupaten Aceh Tengah;Natural park takengon;3.9;94;Alam;Bukit Ewih Tami Delem, Kebayakan, Central Aceh Regency, Aceh;Natural Park hadir di Aceh Tengah untuk menambah keseruan Anda berlibur ke Dataran Tinggi Gayo.;;;;;;;;;;;;;;;
131;Aceh;Kabupaten Aceh Tenggara;Masjid Agung At-Taqwa;4.8;525;Religi;FRM6+R82, Pulo Sanggar, Babussalam, Southeast Aceh, Aceh 24651;Masjid Agung At-Taqwa Kutacane merupakan sebuah bangunan megah sebagai tempat ibadah pujian masyarakat Kutacane dan Aceh Tenggara.;;;;;;;;;;;;;;;
132;Aceh;Kabupaten Aceh Tenggara;Mount Leuser National Park;4.5;202;Alam;GF97+P97 Barisan mountain range, Aceh 24653;Gunung Leuser National Park is a national park covering 7,927 km² in northern Sumatra, Indonesia, straddling the border of North Sumatra and Aceh provinces, a fourth portion and three-fourths portion, respectively. The national park, settled in the Barisan mountain range, is named after Mount Leuser, and protects a wide range of ecosystems. ;;;;;;;;;;;;;;;
133;Aceh;Kabupaten Aceh Tenggara;Ketambe Trek & Orangutan Explore;4.3;58;Alam;Ketambe, Southeast Aceh, Aceh 24652;When researching orangutans and jungle trekking in Sumatra, you will inevitably come across Bukit Lawang.;;;;;;;;;;;;;;;
134;Aceh;Kabupaten Aceh Timur;Pantai Leuge;4.2;381;Alam;Leuge, Peureulak, East Aceh Regency, Aceh;Pantai ini menjadi lokasi wisata yang terpopuler di aceh timur khususnya di peureulak dengan mimiliki hamparan pasir putuh yang lembut;;;;;;;;;;;;;;;
135;Aceh;Kabupaten Aceh Timur;Pantai pelangi matang Rayeuk pp;4.1;143;Alam;Matang Rayeuk (Pr), Idi Timur, East Aceh Regency, Aceh;Tempat rekreasi pantai yang cocok buat keluarga.;;;;;;;;;;;;;;;
136;Aceh;Kabupaten Aceh Timur;Pantai Matang Rayeuk;4.3;12;Alam;WRCG+3CJ, Matang Rayeuk, Peudawa, East Aceh Regency, Aceh;Objek wisata pantai matang Rayeuk ini cukup indah dan mempunyai panorama pantai yang masih alami dengan ditumbuhi pohon Cemara yang rindang;;;;;;;;;;;;;;;
137;Aceh;Kabupaten Aceh Timur;Air Terjun Terujak;4.2;5;Alam;Gampong Terujak, Serba Jadi, East Aceh Regency, Aceh 24392;"Air terjun Terujak Falls terpilih menjadi salah satu nominasi Anugerah Pesona Indonesia (API) Award 2022 katagori ""Surga Tersembunyi""";;;;;;;;;;;;;;;
138;Aceh;Kabupaten Aceh Timur;Pantai Peudawa;4.2;57;Alam;Lokasi pantai Peudawa berjarak sekitar 1 kilometer dari jalan Nasional Banda Aceh-Medan;Pantai Peudawa merupakan salah satu pantai yang terletak di Aceh bagian timur, atau lebih tepatnya di Kabupaten Aceh Timur;;;;;;;;;;;;;;;
139;Aceh;Kabupaten Aceh Utara;Masjid Raya Pase Kota Panton Labu;4.7;462;Religi;4F84+CX2, Pantonlabu, Tanah Jambo Aye, Kota Panton Labu, Kec. Tanah Jambo Aye, Kabupaten Aceh Utara, Aceh 24394;Masjid Raya Pase merupakan lambang sejarah megahnya kejayaan Kerajaan Islam;;;;;;;;;;;;;;;
140;Aceh;Kabupaten Aceh Utara;Air Terjun Blang Kolam;4.2;395;Alam;Sido Muliyo, Kuta Makmur, North Aceh Regency, Aceh 24184;Air Terjun Blang Kolam merupakan tempat wisata yang menawarkan pesona air terjun eksotis, yang berada di tengah hutan belantara.;;;;;;;;;;;;;;;
141;Aceh;Kabupaten Aceh Utara;Museum Islam Samudra Pasai;4.2;234;Religi;46M2+2PF, Beuringen, Samudera, North Aceh Regency, Aceh;Museum Islam Samudra Pasai adalah museum yang berisi berbagai macam koleksi benda bersejarah pada jaman Kerajaan Samudra Pasai.;;;;;;;;;;;;;;;
142;Aceh;Kabupaten Aceh Utara;Krueng Tuan, Nisam Antara;4.1;237;Alam;Unnamed Rd, Hutan, Kec. Nisam Antara, Kabupaten Aceh Utara, Aceh 24381;;;;;;;;;;;;;;;;
143;Aceh;Kabupaten Aceh Utara;KRUENG SAWEUK;4.2;111;Alam;Saweuk, Kuta Makmur, North Aceh Regency, Aceh 24184;Kabupaten Aceh Utara menghadirkan tempat wisata nan sejuk bernama Krueng Saweuk, anak sungai dari Sungai Rayap.;;;;;;;;;;;;;;;
144;Aceh;Kabupaten Aceh Utara;House of Cut Meutia at North Aceh;5.0;14;Pendidikan;2768+5VW, Unnamed Road, Mesjid Pirak, Kec. Matangkuli, Kabupaten Aceh Utara, Aceh 24386;Rumoh Cut Meutia terletak di areal seluas sekitar 1 hektar di Gampong Masjid Pirak Kecamatan Matangkuli, Aceh Utara,;;;;;;;;;;;;;;;
145;Aceh;Kabupaten Aceh Utara;Wisata Lhok Seulayang;4.1;75;Alam;33QH+M32, Unnamed Road, Lhok Jok, Kec. Kuta Makmur, Kabupaten Aceh Utara, Aceh 24355;Letaknya di Desa Lhok Jok, Kecamatan Kuta Makmur. Destinasi wisata ini memgandalkan lingkungan alami serta bentangan sungai yang dapat digunakan;;;;;;;;;;;;;;;
146;Aceh;Kabupaten Aceh Utara;Pantai Ulee Rubek. (Seunuddon);4.0;176;Alam;East Ulee Rubek, Seunuddon, North Aceh Regency, Aceh;erletak di Kecamatan Seunuddon, Aceh Utara, pantai ini terkenal dengan pasir putih nya dan menjadi salah satu lokasi pilihan untuk menghabiskan waktu anda;;;;;;;;;;;;;;;
147;Aceh;Kabupaten Aceh Utara;Pantai Ungu Lhok Puuk seunudon Aceh Utara;4.0;150;Alam;6929+FX4, Lhok Puuk, Seunuddon, North Aceh Regency, Aceh;Daya tarik obyek wisata Pantai Ungu,di Desa Lhok Puuk, Kecamatan Seunuddon, Kabupaten Aceh Utara,;;;;;;;;;;;;;;;
148;Aceh;Kabupaten Aceh Utara;Air Terjun Rayap;4.0;169;Alam;32V6+GPQ, Sido Mulyo, Panton Rayeuk I, Kec. Kuta Makmur, Kabupaten Aceh Utara, Aceh 24184;awasan obyek wisata ini bersisian dengan Air Terjun Blang Kulam yang tersohor.;;;;;;;;;;;;;;;
149;Aceh;Kabupaten Aceh Utara;Pantai Bangka Jaya;4.0;137;Alam;722F+RJQ, Keude Krueng Geukueh, Dewantara, North Aceh Regency, Aceh; Pantai Laut Bangka Jaya merupakan salah satu destinasi wisata yang masih asri dengan panorama keindahan alam cukup indah. ;;;;;;;;;;;;;;;
150;Aceh;Kabupaten Aceh Utara;Gunung Salak;4.1;248;Alam;Aceh Utara;;;;;;;;;;;;;;;;
151;Aceh;Kabupaten Aceh Utara;Pantai Lancok;3.9;657;Alam;Lancok, Syamtalira Bayu, North Aceh Regency, Aceh;Taman milik masyarakat lokal di bibir Pantai Lancok, Desa Lancok, Kecamatan Syamtalira Bayu,;;;;;;;;;;;;;;;
152;Aceh;Kabupaten Aceh Utara;Pantai Sawang;3.7;32;Alam;Sawang, Samudera, North Aceh Regency, Aceh;antai Sawang merupakan salah satu objek wisata pantai yang berada tidak jauh dari Pulau Kundur dan selalu ramai dikunjungi banyak orang;;;;;;;;;;;;;;;
153;Aceh;Kabupaten Bener Meriah;Burni Telong;4.9;14;Alam;Aceh;Gunung Burni Telong adalah salah satu gunung yang berada di provinsi Aceh.;;;;;;;;;;;;;;;
154;Aceh;Kabupaten Bener Meriah;Air Terjun Tansaran Bidin;4.5;130;Alam;Tansaran Bidin, Bandar, Bener Meriah Regency, Aceh 24582;Air terjun Tansaran Bidin adalah air terjun dengan ketinggian mencapai 50 meter di Bener Meriah Aceh.;;;;;;;;;;;;;;;
155;Aceh;Kabupaten Bener Meriah;Geureudong;4.3;20;Alam;Provinsi Aceh, Indonesia;Geureudong or Bur ni Geureudong or Bur ni Telong is a stratovolcanic complex in northern Sumatra, Indonesia. The official name of the whole complex is confusing between the two adjacent volcanoes: Bur ni Geureudong and Bur ni Telong.;;;;;;;;;;;;;;;
156;Aceh;Kabupaten Bener Meriah;Waterfall 7 Angels;4.4;159;Alam;V2MX+GP4, South Hutan Syiah Utama, Syiah Utama, Bener Meriah Regency, Aceh 24393;"The name is the ""Seven Angel Falls"", the distance to visit this tourist spot can take 5 hours of driving from the city center.";;;;;;;;;;;;;;;
157;Aceh;Kabupaten Bener Meriah;Air Terjun Berawang Tampu;4.7;7;Alam;VMRV+7W6, Alur Gading, Pintu Rime Gayo, Bener Meriah Regency, Aceh 24571;Air Terjun Berawang Tampu kita yakini merupakan salah satu yang Terindah di Indonesia yang Wajib di Jelajahi karena keindahan pesonanya.;;;;;;;;;;;;;;;
158;Aceh;Kabupaten Bener Meriah;Niagara Reje Ilang;4.4;104;Alam;Meriah Jaya, Gajah Putih, Bener Meriah Regency, Aceh 24571;alah satu tempat wisata yang belum diketahui orang adalah air terjun Reje Ilang yang berlokasi di Meriah Jaya, Digul Kecamatan Timang Gajah Kabupaten Bener;;;;;;;;;;;;;;;
159;Aceh;Kabupaten Bener Meriah;Burni Telong;4.7;89;Alam;Aceh;Gunung Burni Telong adalah salah satu gunung yang ada di Aceh. Ketinggian puncaknya adalah 2624 meter di atas permukaan laut.;;;;;;;;;;;;;;;
160;Aceh;Kabupaten Bener Meriah;Wisata Pemandian Air Panas;3.9;476;Alam;PRH2+42G, Simpang Balek, Wih Pesam, Bener Meriah Regency, Aceh 24471;Pemandian Air Panas;;;;;;;;;;;;;;;
161;Aceh;Kabupaten Bener Meriah;Taman Batu Lepes;4.1;33;Alam;Unnamed Road, Lampahan, Kec. Timang Gajah, Kabupaten Bener Meriah, Aceh 24571;Objek wisata Batu Lepes di Bener Meriah ini menawarkan ciri khas yang dimiliki Bumi Sengeda dengan panorama alam yang begitu indah.;;;;;;;;;;;;;;;
162;Aceh;Kabupaten Bener Meriah;Jembatan Enang-enang;4.3;38;Alam;VPPG+4X4, Jl. Raya Bireuen - Takengon, Simpang Lancang, Kec. Pintu Rime Gayo, Kabupaten Bener Meriah, Aceh 24571;;;;;;;;;;;;;;;;
163;Aceh;Kabupaten Bireuen;Cot Panglima;4.3;144;Pendidikan;2M9X+7QW, Suka Tani, Juli, Bireuen Regency, Aceh 24264;Khusus untuk Cot Panglima, penamaannya dikarenakan pada masa penjajahan Cot Panglima sering menjadi tempat beristirahat para Panglima seperti Kodam Teuku Hamzah;;;;;;;;;;;;;;;
164;Aceh;Kabupaten Bireuen;Air Terjun Ie Rhop;4.5;36;Alam;49HG+R5P, Hutan, Kec. Samalanga, Kabupaten Bireuen, Aceh 24251;Air Terjun Ie Rhop berada tepat di kawasan Kampung Ie Rhop atau orang Aceh menyebutnya dengan Gampong Ie Rhop, Kecamatan Simpang Mamplam;;;;;;;;;;;;;;;
165;Aceh;Kabupaten Bireuen;Pantai Ujong Blang Bireuen;4.0;408;Alam; 6PQ4+J82, Ujong Blang, Kuala, Bireuen Regency, Aceh;Kawasan Pantai Ujong Blang termasuk lokasi wisata yang paling dekat dengan pusat kota, hanya berjarak sekitar 5 KM arah utara Bireuen.;;;;;;;;;;;;;;;
166;Aceh;Kabupaten Bireuen;Pantai Cemara Lingka Kuta;4.0;207;Alam; Lingka Kuta, Gandapura, Bireuen Regency, Aceh 24356;Lokasi wisata Pantai Cemara yang berada di sebelah utara Keude Gandapura Bireuen kini ditata agar lebih indah.;;;;;;;;;;;;;;;
167;Aceh;Kabupaten Bireuen;Wisata Krueng Simpo;3.9;17;Alam;3P66+R33, Krueng Simpo, Juli, Bireuen Regency, Aceh 24264;;;;;;;;;;;;;;;;
168;Aceh;Kabupaten Bireuen;Laut jangka;3.9;7;Alam; 7Q4F+M5, Alue Bie Pusong, Jangka, Bireuen Regency, Aceh;Pantai Jangka menjadi destinasi paling diminati pengunjung di Kabupaten Bireuen;;;;;;;;;;;;;;;
169;Aceh;Kabupaten Bireuen;Pantai Peuneulet Baröh;3.9;14;Alam;6CGW+WXX, Pantai, Peuneulet Baroh, Simpang Mamplam, Bireuen Regency, Aceh;pantai yang indah ini cukup jauh dari arah kota yakni sekitar 38 Km.;;;;;;;;;;;;;;;
170;Aceh;Kabupaten Bireuen;Air Terjun Piramida;3.7;22;Alam;5925+3G8, Hutan, Kec. Samalanga, Kabupaten Bireuen, Aceh 24264;Air Terjun Piramida semakin mengagumkan karena memiliki setidaknya empat tingkat, dan setiap tingkatnya memiliki ketinggian antara empat sampai lima meter.;;;;;;;;;;;;;;;
171;Aceh;Kabupaten Gayo Lues;Air Terjun Kolam Biru Rerebe;4.4;200;Alam; Rerebe, Tripe Jaya, Gayo Lues Regency, Aceh 24656;Air Terjun Rerebe Kolam Biru ini mempunyai lebar lebih kurang 100 meter dan panjang lebih kurang 110 dengan kedalaman kolam 2-8 meter. ;;;;;;;;;;;;;;;
172;Aceh;Kabupaten Gayo Lues;Tugu Negeri Seribu Bukit;4.6;30;Alam;X954+RP4, Jl. Blangkejeren - Kutacane, Penggalangan, Kec. Blangkejeren, Kabupaten Gayo Lues, Aceh 24653;Kabupaten Gayo Lues dianugerahi oleh bentangan alam yang sangat indah, laiknya kepingan tanah dari surga;;;;;;;;;;;;;;;
173;Aceh;Kabupaten Gayo Lues;Gunung Kemiri;5.0;5;Alam;Aceh;;;;;;;;;;;;;;;;
174;Aceh;Kabupaten Gayo Lues;Mount Leuser;4.1;106;Alam;Aceh;Gunung Leuser National Park is a national park covering 7,927 km2 in northern Sumatra, Indonesia, straddling the border of North Sumatra and Aceh provinces;;;;;;;;;;;;;;;
175;Aceh;Kabupaten Gayo Lues;Mount Leuser National Park;4.5;202;Alam;GF97+P97 Barisan mountain range, Aceh 24653;Gunung Leuser National Park is a national park covering 7,927 km² in northern Sumatra, Indonesia, straddling the border of North Sumatra and Aceh provinces, a fourth portion and three-fourths portion, respectively. ;;;;;;;;;;;;;;;
176;Aceh;Kabupaten Nagan Raya;Masjid Giok Agung Baitul A'la Nagan Raya;4.6;153;Religi;58CC+CJ2, Lueng Baro, Suka Makmue, Nagan Raya Regency, Aceh 23671;Masjid Agung Baitul A'la atau Masjid Giok yang terletak di Kompleks Perkantoran Suka Makmue, Nagan Raya, Aceh;;;;;;;;;;;;;;;
177;Aceh;Kabupaten Nagan Raya;Alue Gantung;4.5;12;Alam;7FRC+C42, Jl. Meulaboh - Beutong Ateuh, Blang Neuang, Kec. Beutong, Kabupaten Nagan Raya, Aceh 23672;Alue gantung yang berada di Kecamatan Beutong merupakan salah satu objek wisata alam yang ada di Kabupaten Nagan Raya.;;;;;;;;;;;;;;;
178;Aceh;Kabupaten Nagan Raya;Puncak Gunung Singgah Mata;4.9;20;Alam;CG57+4JX, Kila, Kec. Seunagan Tim., Kabupaten Nagan Raya, Aceh 23672;Di puncak pendakian, wisatawan akan disuguhkan dengan pemandangan alam luar biasa seperti hutan yang masih asri, pepohonan hijau;;;;;;;;;;;;;;;
179;Aceh;Kabupaten Nagan Raya;Wisata Laut Tadu;4.1;9;Alam; 2CG3+8H4, Krueng Itam, Tadu Raya, Nagan Raya Regency, Aceh 23661;;;;;;;;;;;;;;;;
180;Aceh;Kabupaten Nagan Raya;Pantai Naga Permai;3.9;84;Alam;Aceh;Pantai Indah Naga Permai merupakan pantai yang terletak di Kabupaten Nagan Raya, Aceh.;;;;;;;;;;;;;;;
181;Aceh;Kabupaten Nagan Raya;Krueng Isep;3.4;20;Alam;6FRF+PV2, Blang Baro Rambong, Beutong, Nagan Raya Regency, Aceh 23672;Sungai Krueng Isep merupakan wisata alam berupa sungai di Kabupaten Nagan Raya, Aceh. Sungai ini memiliki air berasal dari pegunungan leuser;;;;;;;;;;;;;;;
182;Aceh;Kabupaten Pidie;Peuët Sagoë;4.1;38;Alam;Aceh;Peuet Sague is a volcanic complex in the northwestern part of Sumatra, Indonesia. The name peuet sagoe in Acehnese means four square.;;;;;;;;;;;;;;;
183;Aceh;Kabupaten Pidie;Guha Tujoh;4.1;115;Alam;Jln Guha tujoh, Hutan, Kec. Kota Sigli, Kabupaten Pidie, Aceh 23451;Namanya Guha Tujoh, atau Gua Tujuh, atau masyarakat di sana juga menyebutnya Gua Tujuh Laweung Aceh, karena terletak di daerah Laweung, Aceh.;;;;;;;;;;;;;;;
184;Aceh;Kabupaten Pidie;Pantai Mantak Tari;4.1;230;Alam;9X5X+WP7, Mantak Raya, Simpang Tiga, Pidie Regency, Aceh 24181; Pantai Mantak Tari merupakan wisata pantai di Kabupaten Pidie yang cukup populer dikalangan masyarakat setempat, menawarkan keindahan pasir;;;;;;;;;;;;;;;
185;Aceh;Kabupaten Pidie;Alun-Alun Kota Sigli;4.1;1141;Sejarah;9XP6+VX8, Kramat Luar, Kota Sigli, Pidie Regency, Aceh 24119;;;;;;;;;;;;;;;;
186;Aceh;Kabupaten Pidie;Masjid Raya Labui;4.8;93;Religi; 9W7Q+832, Labui, Pidie, Pidie Regency, Aceh 24164; Masjid Raya Labui atau yang dulu dikenal dengan Masjid Po Teumeureuhom merupakan masjid tertua di Kabupaten Pidie;;;;;;;;;;;;;;;
187;Aceh;Kabupaten Pidie;JAMBO ADVENTURE;5.0;8;Alam;WXMV+C3W, Hutan, Kota Sigli, Pidie Regency, Aceh 24181;Jambo Adventure Camp merupakan salah satu wahana wisata yang sedang hits di pedalaman Kabupaten Pidie, Aceh.;;;;;;;;;;;;;;;
188;Aceh;Kabupaten Pidie;Geunie Resort;4.2;95;Alam;5VH6+36Q, Lhok Keutapang, Tangse, Pidie Regency, Aceh 24185;Geunie Resort merupakan merupakan beberapa tujuan wisata idaman para pelancong saat wisata di Kecamatan Glumpang Tiga Kabupaten Pidie.;;;;;;;;;;;;;;;
